Cycle,Timestep,"Cumulative Timestep","Time Interval(hrs)","NWLobePower(MW)","NELobePower(MW)","CLobePower(MW)","SWLobePower(MW)","SELobePower(MW)","TotalCorePower(MW)"
138B,1,1,9,1.4611,1.4761,1.8833,2.0861,2.1028,9.0094
138B,2,2,24,4.3281,4.3510,5.0875,6.1204,6.2483,26.1354
138B,3,3,24,17.2033,17.1969,19.4444,21.9544,23.8315,99.6304
138B,4,4,24,17.9902,18.0056,22.1019,23.0196,25.0567,106.1740
138B,5,5,24,18.0575,18.0433,22.1181,22.9727,25.0910,106.2827
138B,6,6,24,18.0715,17.9946,21.9185,22.9433,25.1115,106.0394
138B,7,7,24,18.0627,18.0896,22.5400,23.0081,25.0560,106.7565
138B,8,8,24,18.1790,18.1825,22.5865,23.0735,25.2979,107.3194
138B,9,9,24,18.0865,18.2785,23.0002,23.0731,25.1902,107.6285
138B,10,10,24,18.1913,18.3413,23.1858,23.1723,25.1800,108.0706
138B,11,11,24,18.1504,18.1279,23.3069,23.1213,25.1781,107.8846
138B,12,12,24,18.2460,18.2440,23.5031,23.2946,25.2638,108.5515
138B,13,13,24,18.1640,18.1731,23.0742,23.1794,25.1408,107.7315
138B,14,14,24,18.3108,18.3550,23.5188,23.3733,25.3648,108.9227
138B,15,15,24,18.2871,18.3279,23.4992,23.3060,25.2477,108.6679
138B,16,16,24,18.2215,18.2733,23.4185,23.2515,25.3398,108.5046
138B,17,17,24,18.1758,18.1671,22.8590,23.2079,25.1621,107.5719
138B,18,18,24,18.1221,18.1879,22.7592,23.0750,25.0869,107.2310
138B,19,19,24,18.0960,18.0908,23.0235,23.0679,25.0729,107.3513
138B,20,20,24,18.0940,18.0446,22.9885,23.0550,25.0829,107.2650
138B,21,21,24,18.0960,18.1373,23.2446,22.9790,25.0381,107.4950
138B,22,22,24,18.1094,18.0979,22.9383,23.0263,25.0267,107.1985
138B,23,23,24,18.1775,18.2092,23.0529,23.1935,25.1019,107.7350
138B,24,24,24,18.1335,18.1646,23.2175,23.1002,25.1090,107.7248
138B,25,25,24,17.9775,18.0969,23.1796,22.9185,24.9642,107.1367
138B,26,26,24,18.0075,17.9792,23.2758,23.0152,24.9119,107.1896
138B,27,27,24,18.1098,18.1125,23.3548,23.1446,25.0744,107.7960
138B,28,28,24,18.1902,18.1765,23.3658,23.1888,25.1515,108.0727
138B,29,29,24,18.1604,18.1496,23.5248,23.1381,25.1002,108.0731
138B,30,30,24,18.1283,18.1231,24.0544,23.0796,25.0948,108.4802
138B,31,31,24,18.1319,18.1946,23.8523,23.1090,25.1190,108.4067
138B,32,32,24,18.1508,18.2592,23.7390,23.2388,25.2023,108.5900
138B,33,33,24,18.0558,18.1783,23.6569,23.2340,25.0938,108.2188
138B,34,34,24,18.1556,18.2013,23.8108,23.2138,25.1765,108.5579
138B,35,35,24,18.1085,18.1679,23.6260,23.1242,25.1125,108.1392
138B,36,36,24,18.1465,18.1646,23.6319,23.1365,25.0694,108.1488
138B,37,37,24,18.1523,18.2085,24.2633,23.2225,25.1881,109.0348
138B,38,38,24,18.1271,18.1377,24.4344,23.1023,25.1073,108.9088
138B,39,39,24,18.0650,18.1308,24.1665,23.0415,25.1117,108.5154
138B,40,40,24,18.1563,18.3010,24.4973,23.1204,25.2096,109.2846
138B,41,41,24,18.2523,18.3358,24.4163,23.3406,25.2525,109.5975
138B,42,42,24,18.2635,18.2756,24.6056,23.2815,25.2419,109.6681
138B,43,43,24,18.2229,18.2565,24.5585,23.2444,25.3108,109.5931
138B,44,44,24,18.4092,18.4888,24.8844,23.4742,25.4335,110.6900
138B,45,45,24,18.3998,18.4271,24.4771,23.4331,25.4525,110.1896
138B,46,46,24,18.3233,18.3400,23.8204,23.3060,25.3152,109.1050
138B,47,47,24,18.2585,18.3538,23.7048,23.3092,25.3071,108.9333
138B,48,48,24,18.2879,18.2781,23.6496,23.3098,25.3092,108.8346
138B,49,49,9,18.3189,18.3694,23.9450,23.3928,25.3933,109.4194
139A,1,50,8,5.2931,5.2006,6.9469,6.8475,7.4444,31.7325
139A,2,51,24,17.9554,17.9506,22.5175,22.8456,24.7823,106.0515
139A,3,52,24,18.3754,18.3533,23.2496,23.3375,25.3523,108.6681
139A,4,53,24,18.3458,18.3360,23.9098,23.3273,25.3154,109.2344
139A,5,54,24,18.2538,18.2658,24.1850,23.2923,25.2388,109.2356
139A,6,55,24,18.4325,18.4281,24.0956,23.4548,25.4833,109.8944
139A,7,56,24,18.2798,18.3544,23.9396,23.4002,25.3860,109.3600
139A,8,57,24,18.3854,18.4017,24.4523,23.4898,25.3644,110.0935
139A,9,58,24,18.4304,18.4415,24.2800,23.4581,25.4402,110.0502
139A,10,59,24,18.3721,18.4100,24.0260,23.3967,25.3563,109.5610
139A,11,60,24,18.4225,18.4183,23.9127,23.4188,25.4223,109.5946
139A,12,61,24,18.4060,18.4146,23.9465,23.4575,25.4521,109.6767
139A,13,62,24,18.3525,18.4129,23.9973,23.4819,25.4563,109.7008
139A,14,63,24,18.2963,18.3817,23.7613,23.3221,25.3869,109.1481
139A,15,64,24,18.3098,18.3492,24.3242,23.4163,25.3742,109.7735
139A,16,65,24,18.3119,18.3756,24.2692,23.3377,25.4508,109.7452
139A,17,66,24,18.3838,18.3167,24.1610,23.3829,25.4217,109.6660
139A,18,67,24,18.3915,18.3792,24.0321,23.4060,25.4238,109.6325
139A,19,68,24,18.3573,18.4571,24.2404,23.4448,25.4358,109.9354
139A,20,69,24,18.4040,18.3946,24.6627,23.4963,25.4242,110.3817
139A,21,70,24,18.4525,18.4865,24.6160,23.5494,25.4290,110.5333
139A,22,71,24,18.4363,18.5342,24.2560,23.4567,25.4927,110.1758
139A,23,72,24,6.1640,6.1769,8.0715,7.8121,8.5281,36.7525
139A,24,73,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0005
139A,25,74,24,0.0001,0.0001,0.0001,0.0001,0.0001,0.0005
139A,26,75,24,15.8846,15.8833,21.8650,20.2838,21.9600,95.8767
139A,27,76,24,18.3881,18.4083,24.2977,23.4069,25.3813,109.8823
139A,28,77,24,18.2469,18.2652,24.1023,23.2513,25.2792,109.1448
139A,29,78,24,18.3077,18.3821,24.4958,23.4150,25.2890,109.8896
139A,30,79,24,18.2383,18.3140,24.1138,23.2808,25.2821,109.2290
139A,31,80,24,18.2192,18.2644,23.9813,23.2517,25.2254,108.9419
139A,32,81,24,18.3119,18.3594,24.1031,23.2656,25.3302,109.3702
139A,33,82,24,18.4319,18.4908,24.2250,23.4069,25.4558,110.0104
139A,34,83,24,18.5442,18.6229,24.3681,23.5771,25.6425,110.7548
139A,35,84,24,18.5060,18.5596,23.9729,23.6021,25.5502,110.1908
139A,36,85,24,18.5156,18.5700,23.8919,23.6188,25.4623,110.0585
139A,37,86,24,18.4356,18.4988,23.9731,23.5583,25.4594,109.9252
139A,38,87,24,18.4575,18.5390,23.7142,23.4931,25.5000,109.7038
139A,39,88,24,18.3906,18.5252,23.9177,23.4029,25.3702,109.6067
139A,40,89,24,18.4783,18.5304,24.0100,23.6606,25.5633,110.2427
139A,41,90,24,18.3835,18.3802,23.7308,23.5360,25.3527,109.3833
139A,42,91,24,18.3392,18.3742,23.8146,23.3779,25.2656,109.1715
139A,43,92,24,18.4340,18.4377,23.6573,23.4281,25.3613,109.3183
139A,44,93,24,18.4104,18.4033,23.5433,23.4192,25.3815,109.1577
139A,45,94,24,18.3885,18.4310,23.9563,23.4213,25.3644,109.5615
139A,46,95,24,18.4013,18.4285,23.9265,23.4502,25.3371,109.5435
139A,47,96,24,18.4767,18.5117,24.4106,23.5385,25.5038,110.4413
139A,48,97,24,18.4779,18.4783,24.3356,23.5817,25.4742,110.3477
139A,49,98,24,18.4581,18.4890,24.5452,23.5529,25.4765,110.5217
139A,50,99,24,18.4698,18.6375,24.9296,23.5473,25.4479,111.0321
139A,51,100,24,18.5219,18.6910,25.1260,23.5867,25.5373,111.4629
139A,52,101,24,18.5108,18.6015,24.9300,23.6013,25.5723,111.2158
139A,53,102,24,18.4683,18.4921,24.4213,23.5273,25.4829,110.3919
139A,54,103,24,18.4819,18.5708,24.3196,23.6221,25.5025,110.4969
139A,55,104,24,18.4340,18.5881,24.1950,23.4573,25.4315,110.1058
139A,56,105,9,18.3589,18.4689,24.0117,23.3867,25.4078,109.6339
139B,1,106,8,5.5281,5.4563,7.2319,7.3244,7.4425,32.9831
139B,2,107,24,17.5258,17.5000,21.0285,22.4321,22.3821,100.8685
139B,3,108,24,17.7960,17.7746,22.0979,22.7873,22.6885,103.1444
139B,4,109,24,18.1858,18.2050,22.4596,23.1563,23.1477,105.1544
139B,5,110,24,18.2608,18.2758,22.4967,23.2540,23.2823,105.5696
139B,6,111,24,18.3450,18.4546,23.3006,23.3690,23.4085,106.8777
139B,7,112,24,18.2108,18.3221,23.1546,23.2846,23.2704,106.2425
139B,8,113,24,18.3071,18.3469,23.1717,23.3508,23.2738,106.4502
139B,9,114,24,18.3504,18.3600,23.2508,23.4677,23.3865,106.8154
139B,10,115,24,18.3358,18.3467,23.3092,23.3581,23.3329,106.6827
139B,11,116,24,18.2742,18.3406,23.4108,23.2373,23.3738,106.6367
139B,12,117,24,18.1971,18.1896,23.1113,23.2506,23.2063,105.9548
139B,13,118,24,18.0765,18.1502,22.7838,23.1631,23.1363,105.3098
139B,14,119,24,18.1200,18.1465,22.9606,23.1792,23.1692,105.5754
139B,15,120,24,18.2140,18.1735,23.0235,23.2510,23.2104,105.8725
139B,16,121,24,18.1621,18.1981,23.0608,23.2306,23.1652,105.8169
139B,17,122,24,18.1104,18.1746,22.9077,23.1706,23.1110,105.4744
139B,18,123,24,18.1633,18.1085,23.4867,23.1608,23.1917,106.1110
139B,19,124,24,18.1977,18.2000,23.3098,23.1373,23.2348,106.0796
139B,20,125,24,18.1819,18.1506,23.6115,23.2171,23.1675,106.3285
139B,21,126,24,18.1365,18.2265,23.6071,23.3038,23.1569,106.4306
139B,22,127,24,18.1238,18.0948,23.3519,23.1879,23.1102,105.8685
139B,23,128,24,18.3102,18.3302,23.7046,23.4415,23.5046,107.2910
139B,24,129,24,18.4152,18.4367,23.4740,23.4210,23.4254,107.1723
139B,25,130,24,18.3398,18.3990,23.8392,23.2602,23.2773,107.1154
139B,26,131,24,18.1833,18.2146,23.7763,23.1927,23.1858,106.5527
139B,27,132,24,18.2683,18.2433,23.6590,23.2708,23.2804,106.7219
139B,28,133,24,18.2438,18.2377,23.7117,23.3410,23.3073,106.8415
139B,29,134,24,18.2300,18.2379,23.7121,23.3144,23.2821,106.7765
139B,30,135,24,18.2021,18.2404,23.5800,23.2804,23.2396,106.5425
139B,31,136,24,18.2335,18.2377,23.6610,23.2294,23.1977,106.5594
139B,32,137,24,18.1802,18.2696,24.1015,23.2317,23.2027,106.9856
139B,33,138,7,18.1857,18.2536,23.9307,23.2929,23.2471,106.9100
139B,34,139,1044,0.0100,0.0100,0.0100,0.0100,0.0100,0.0500
139B,35,140,13,0.3108,0.2923,0.4600,0.3869,0.3808,1.8308
139B,36,141,24,15.6479,15.5990,20.9117,19.9977,20.0317,92.1879
139B,37,142,24,17.9638,18.0271,23.9738,22.9429,22.9240,105.8315
139B,38,143,24,18.0563,18.0521,24.0385,22.9883,23.0238,106.1590
139B,39,144,24,17.9113,17.8775,23.8208,22.8663,22.8610,105.3369
139B,40,145,24,17.8552,17.8160,23.7177,22.8669,22.8331,105.0890
139B,41,146,24,17.8633,17.8215,23.8483,22.8683,22.8546,105.2560
139B,42,147,24,17.9379,17.9310,24.1148,22.9333,22.9565,105.8735
139B,43,148,24,17.9781,18.0721,24.0706,23.0210,23.0098,106.1517
139B,44,149,24,18.0217,17.9081,23.8810,23.0133,23.0335,105.8577
139B,45,150,24,18.0006,17.9267,24.0652,22.9225,22.9783,105.8933
139B,46,151,24,18.0044,17.9758,24.1283,22.9690,22.9508,106.0283
139B,47,152,24,18.0765,18.0802,24.0125,23.0292,22.9983,106.1967
139B,48,153,24,18.0752,18.0540,23.8631,23.0013,23.0633,106.0569
139B,49,154,24,17.9977,17.9463,23.3710,22.9681,22.9346,105.2177
139B,50,155,24,17.9394,17.9048,22.5429,22.8635,22.9117,104.1623
139B,51,156,24,17.9483,17.9506,22.5035,23.0033,22.8965,104.3023
139B,52,157,24,18.0435,18.0165,22.4910,23.0167,23.0606,104.6283
139B,53,158,24,17.9506,17.9838,22.0596,22.9188,22.9158,103.8285
139B,54,159,24,17.9577,18.0563,22.1690,22.9271,22.9960,104.1060
139B,55,160,21,17.9257,17.9569,21.8081,23.0460,22.9098,103.6464
140A,1,161,8,4.7250,4.5281,5.6556,6.2550,6.2831,27.4469
140A,2,162,24,17.5063,17.4758,19.9173,22.3383,22.2494,99.4871
140A,3,163,24,18.9165,19.0085,22.0500,23.9619,23.8863,107.8231
140A,4,164,24,18.7071,18.8427,22.0029,23.7169,23.6563,106.9258
140A,5,165,24,18.5554,18.6590,21.9254,23.6354,23.5425,106.3177
140A,6,166,24,18.4506,18.4988,22.6792,23.5063,23.4215,106.5563
140A,7,167,24,18.3963,18.4965,22.2681,23.3667,23.3654,105.8929
140A,8,168,24,18.5054,18.6438,21.7967,23.5071,23.4685,105.9215
140A,9,169,24,18.5169,18.6110,21.7569,23.5129,23.5156,105.9133
140A,10,170,24,18.1729,18.2044,21.4483,23.2458,23.2263,104.2977
140A,11,171,24,18.0742,18.0735,21.7981,23.0954,23.1140,104.1552
140A,12,172,24,18.0902,18.0665,22.1550,23.0750,23.0833,104.4700
140A,13,173,24,18.0385,18.0685,21.9313,23.1210,23.1583,104.3177
140A,14,174,24,18.0635,18.1515,21.9571,23.0942,23.1131,104.3794
140A,15,175,24,18.2552,18.1923,22.0313,23.1256,23.2406,104.8450
140A,16,176,24,18.1225,18.1406,21.9104,23.1940,23.1488,104.5163
140A,17,177,24,18.1238,18.1331,21.9483,23.1690,23.1863,104.5604
140A,18,178,24,18.1267,18.0752,21.7027,23.2563,23.1102,104.2710
140A,19,179,24,18.1696,18.1469,21.4873,23.1969,23.2106,104.2113
140A,20,180,24,18.0769,18.1198,21.4108,23.0921,23.1050,103.8046
140A,21,181,24,18.0971,18.1273,22.0150,23.1104,23.1040,104.4538
140A,22,182,24,18.0671,18.1027,21.6596,23.1302,23.0658,104.0254
140A,23,183,24,18.1660,18.1560,21.6933,23.1275,23.1946,104.3375
140A,24,184,24,18.1921,18.2469,21.7194,23.3181,23.2229,104.6994
140A,25,185,24,18.1354,18.1817,21.4488,23.2490,23.2358,104.2506
140A,26,186,24,18.0079,17.9700,21.5896,23.0656,22.9894,103.6225
140A,27,187,24,17.9544,17.9506,21.6560,23.0469,23.0198,103.6277
140A,28,188,24,17.9973,18.0217,21.3902,22.9698,22.9946,103.3735
140A,29,189,24,18.0227,17.9846,21.8838,23.0258,23.0544,103.9713
140A,30,190,24,17.9892,17.9794,22.0765,23.0371,23.0092,104.0913
140A,31,191,24,17.9546,17.9060,21.8927,23.0271,22.9915,103.7719
140A,32,192,24,17.9081,17.9221,21.7658,22.9552,22.9040,103.4552
140A,33,193,24,17.9979,17.9623,22.0598,22.9733,22.9390,103.9323
140A,34,194,24,18.0185,17.9504,21.9350,22.9983,23.0254,103.9277
140A,35,195,24,17.9608,17.9608,22.1731,23.0319,22.9963,104.1229
140A,36,196,24,18.0373,18.0356,22.1754,23.0302,23.0363,104.3148
140A,37,197,24,17.8940,17.8644,21.7838,22.7096,22.8275,103.0792
140A,38,198,24,17.8088,17.8335,21.8963,22.7994,22.8460,103.1840
140A,39,199,24,17.8423,17.8302,21.8235,22.8090,22.8148,103.1198
140A,40,200,24,17.8490,17.8285,22.1425,22.8446,22.8727,103.5373
140A,41,201,24,17.9265,17.9600,21.7940,22.8988,22.8654,103.4446
140A,42,202,24,17.9550,17.9975,21.9694,22.9063,22.9644,103.7925
140A,43,203,24,17.9327,17.8783,22.2044,22.9690,22.8992,103.8835
140A,44,204,24,17.9702,17.9167,21.9402,22.9415,22.9463,103.7148
140A,45,205,24,17.9771,17.9398,22.0650,22.9463,22.8621,103.7902
140A,46,206,24,17.9094,17.9079,22.0690,22.9840,22.8854,103.7556
140A,47,207,24,17.9110,17.9992,21.9740,23.0085,22.9354,103.8281
140A,48,208,11,17.9527,17.8900,21.7218,23.0305,22.9555,103.5505
140B,1,209,8,0.2650,0.2688,0.3075,0.3375,0.3650,1.5438
140B,2,210,24,12.9713,13.0158,14.1060,16.5525,16.7419,73.3875
140B,3,211,24,17.6521,17.6908,20.5602,22.5633,22.5923,101.0588
140B,4,212,24,17.7023,17.6438,21.0492,22.6127,22.6835,101.6915
140B,5,213,24,17.6621,17.5427,20.7190,22.4998,22.5450,100.9685
140B,6,214,24,17.6488,17.5508,20.7394,22.5231,22.6100,101.0721
140B,7,215,24,17.6373,17.5560,20.5779,22.5165,22.6183,100.9060
140B,8,216,24,17.5538,17.4873,20.2498,22.5458,22.5654,100.4021
140B,9,217,24,17.5915,17.5481,20.7381,22.4500,22.5779,100.9056
140B,10,218,24,17.5963,17.5619,21.0425,22.5308,22.5550,101.2865
140B,11,219,24,17.6394,17.5771,21.1640,22.5646,22.6346,101.5796
140B,12,220,24,17.6340,17.6652,20.9381,22.5633,22.5938,101.3944
140B,13,221,24,17.5148,17.5038,20.9196,22.4825,22.5300,100.9506
140B,14,222,24,17.5721,17.5742,20.8848,22.4752,22.5446,101.0508
140B,15,223,24,17.5435,17.5373,20.8338,22.4508,22.5492,100.9146
140B,16,224,24,17.5315,17.5083,20.5821,22.4596,22.5125,100.5940
140B,17,225,24,17.5617,17.5452,20.3992,22.4563,22.5088,100.4710
140B,18,226,24,17.5527,17.5529,20.3850,22.4342,22.5873,100.5121
140B,19,227,24,17.5831,17.5133,20.6081,22.4579,22.5519,100.7144
140B,20,228,24,17.5350,17.5079,20.3835,22.4215,22.4875,100.3354
140B,21,229,24,17.5083,17.4604,20.0492,22.3348,22.4413,99.7940
140B,22,230,24,17.5204,17.5363,20.3594,22.5533,22.6002,100.5696
140B,23,231,24,17.5827,17.5544,20.1496,22.5098,22.6223,100.4188
140B,24,232,24,17.5967,17.6023,19.9940,22.4990,22.5563,100.2481
140B,25,233,24,17.5775,17.7281,19.8598,22.2981,22.5942,100.0577
140B,26,234,19,17.4903,17.4842,21.5989,22.1189,22.2716,100.9639
140B,27,235,185,0.1000,0.1000,0.1000,0.1000,0.1000,0.5000
140B,28,236,11,18.3141,18.4332,23.8514,23.3414,23.3800,107.3200
140B,29,237,24,18.2567,18.3348,23.7371,23.3204,23.2565,106.9054
140B,30,238,24,18.2775,18.3323,24.0029,23.2488,23.2985,107.1600
140B,31,239,24,18.3465,18.3421,24.0385,23.3479,23.3154,107.3904
140B,32,240,24,18.3927,18.4346,24.2806,23.3690,23.4052,107.8821
140B,33,241,24,18.4177,18.4563,24.7279,23.4727,23.4494,108.5240
140B,34,242,24,18.3629,18.4077,24.4644,23.3031,23.3788,107.9169
140B,35,243,24,18.4535,18.4858,24.4508,23.5035,23.3896,108.2833
140B,36,244,24,18.4498,18.5058,24.1715,23.4283,23.4919,108.0473
140B,37,245,13,17.0458,17.0742,22.2881,21.6938,21.7265,99.8285
141A,1,246,8,8.2213,8.2031,10.2344,10.4494,10.6113,47.7194
141A,2,247,24,18.4094,18.4373,22.4488,23.5071,23.4608,106.2633
141A,3,248,24,18.2981,18.2442,22.4758,23.2363,23.2029,105.4573
141A,4,249,24,18.4835,18.5283,23.6810,23.5719,23.4825,107.7473
141A,5,250,24,18.4156,18.4152,23.4517,23.5683,23.4348,107.2856
141A,6,251,24,18.3510,18.3881,23.2988,23.4440,23.3440,106.8258
141A,7,252,24,18.4721,18.5525,24.0392,23.5990,23.5058,108.1685
141A,8,253,24,18.5260,18.5610,23.9708,23.6285,23.5775,108.2640
141A,9,254,24,18.5590,18.6308,23.8900,23.6271,23.6004,108.3073
141A,10,255,24,18.5958,18.6583,23.9940,23.7138,23.6369,108.5988
141A,11,256,24,18.6465,18.6631,24.0517,23.7546,23.6756,108.7915
141A,12,257,24,18.6313,18.5954,23.9735,23.7642,23.6635,108.6279
141A,13,258,24,18.6600,18.6727,24.0800,23.7913,23.7044,108.9083
141A,14,259,24,18.5375,18.5925,22.9044,23.6271,23.6163,107.2777
141A,15,260,24,18.5790,18.8075,22.4808,22.4188,23.6200,105.9060
141A,16,261,24,18.6925,18.7021,23.7948,23.8740,23.7671,108.8304
141A,17,262,24,18.7596,18.6627,23.7788,23.8325,23.8242,108.8577
141A,18,263,24,18.7679,18.8123,23.6202,23.9048,23.8204,108.9256
141A,19,264,24,18.7319,18.7583,24.1863,23.8690,23.8171,109.3625
141A,20,265,24,18.5550,18.5652,23.9690,23.6473,23.6058,108.3423
141A,21,266,24,18.6150,18.5969,24.4221,23.7898,23.6623,109.0860
141A,22,267,24,18.6754,18.6967,24.2444,23.7419,23.7160,109.0744
141A,23,268,24,18.6419,18.7527,23.9000,23.7013,23.6629,108.6588
141A,24,269,24,18.7300,18.7998,24.2181,23.7523,23.7608,109.2610
141A,25,270,24,18.7504,18.8833,24.2040,23.7988,23.8271,109.4635
141A,26,271,24,18.7085,18.7898,23.8585,23.8050,23.7563,108.9181
141A,27,272,24,18.7718,18.7864,23.6432,23.8655,23.7623,108.8291
141A,28,273,24,18.6852,18.7140,23.8035,23.7671,23.6940,108.6638
141A,29,274,24,18.5435,18.6798,23.7590,23.6056,23.5994,108.1873
141A,30,275,24,18.6238,18.6981,24.0569,23.7669,23.6396,108.7852
141A,31,276,24,18.6321,18.6823,24.2631,23.6648,23.6873,108.9296
141A,32,277,24,18.6167,18.6360,23.9979,23.8373,23.7569,108.8448
141A,33,278,24,18.5552,18.6544,24.1940,23.6756,23.6315,108.7106
141A,34,279,7,18.5121,18.5279,24.1107,23.7057,23.5207,108.3771
142A,1,280,8,8.0300,6.3188,9.3931,8.1069,8.0456,39.8944
142A,2,281,24,23.3765,18.4021,25.2127,23.4231,23.3633,113.7777
142A,3,282,24,23.5592,18.6002,24.8750,23.6894,23.6517,114.3754
142A,4,283,24,23.3542,18.3660,24.1696,23.4321,23.3631,112.6850
142A,5,284,24,23.2483,18.2265,24.0923,25.0223,23.2510,113.8404
142A,6,285,24,23.2225,18.2700,24.0723,25.3063,23.2933,114.1644
142A,7,286,25,23.2079,18.2542,24.1100,25.2288,23.2731,114.0740
142A,8,287,24,23.2740,18.3440,24.1694,25.2635,23.2683,114.3192
142A,9,288,24,23.3177,18.3783,24.1421,25.2942,23.3288,114.4610
142A,10,289,24,23.4546,18.4906,24.4433,25.5215,23.4740,115.3840
142A,11,290,24,23.3442,18.3467,24.3927,25.4304,23.3600,114.8740
142A,12,291,24,23.2898,18.1952,24.2073,25.2688,23.2394,114.2004
142A,13,292,24,23.2963,18.2496,23.9527,25.2902,23.2625,114.0513
142A,14,293,24,23.2752,18.3098,23.7727,25.3323,23.3621,114.0521
142A,15,294,24,23.3748,18.3023,24.2642,25.3625,23.3238,114.6275
142A,16,295,24,23.2713,18.1948,24.0769,25.3344,23.2633,114.1406
142A,17,296,24,23.3256,18.3433,24.5965,25.2527,23.2031,114.7213
142A,18,297,24,23.2825,18.2554,24.9602,25.3421,23.3221,115.1623
142A,19,298,24,23.2285,18.2852,24.6910,25.2713,23.2375,114.7135
142A,20,299,24,23.2250,18.2329,24.4983,25.1946,23.2796,114.4304
142A,21,300,24,23.1733,18.1992,24.6388,25.2235,23.1823,114.4171
142A,22,301,24,23.2781,18.2300,24.4715,25.2227,23.1806,114.3829
142A,23,302,24,23.2252,18.2508,24.6433,25.2471,23.2279,114.5944
142A,24,303,24,23.2135,18.2790,24.9854,25.3138,23.2325,115.0242
142A,25,304,24,23.3017,18.2838,25.1585,25.3448,23.3381,115.4269
142A,26,305,24,23.4167,18.4238,25.1990,25.4744,23.4119,115.9256
142A,27,306,24,23.4796,18.3985,24.8238,25.4865,23.4767,115.6650
142A,28,307,24,23.4510,18.4473,24.6515,25.4804,23.4869,115.5171
142A,29,308,24,23.5913,18.5260,24.8352,25.6494,23.5856,116.1875
142A,30,309,24,23.4960,18.5948,25.3204,25.5748,23.5273,116.5133
142A,31,310,25,23.6460,18.7042,25.3563,25.6396,23.6529,116.9990
142A,32,311,24,23.6671,18.6669,25.5427,25.7067,23.5700,117.1533
142A,33,312,20,21.1790,16.7478,22.7615,23.0325,21.2435,104.9643
142A,34,313,17,0.1000,0.1000,0.1000,0.1000,0.1000,0.5000
142A,35,314,11,18.2895,14.3923,21.9641,19.8273,18.2845,92.7577
142A,36,315,24,23.5790,18.5848,25.5360,25.6327,23.5896,116.9221
142A,37,316,24,23.4279,18.4460,25.1846,25.4579,23.4100,115.9265
142A,38,317,24,23.4390,18.4825,25.2846,25.4717,23.4244,116.1021
142A,39,318,24,23.4913,18.5823,25.4492,25.5575,23.5729,116.6531
142A,40,319,24,23.4513,18.4875,25.3540,25.5283,23.4946,116.3156
142A,41,320,24,23.5242,18.5265,25.6215,25.5910,23.5392,116.8023
142A,42,321,24,23.5981,18.6140,25.5206,25.5638,23.6942,116.9906
142A,43,322,24,23.4429,18.5069,25.6667,25.4938,23.5171,116.6273
142A,44,323,24,23.3921,18.4673,25.8269,25.4467,23.4290,116.5619
142A,45,324,24,23.3825,18.3588,25.7588,25.4029,23.4544,116.3573
142A,46,325,24,23.3848,18.4615,25.6881,25.4483,23.3840,116.3667
142A,47,326,24,23.5027,18.5115,25.7858,25.5133,23.5242,116.8375
142A,48,327,24,23.4456,18.5490,25.5448,25.4450,23.5225,116.5069
142A,49,328,24,23.3833,18.4033,25.6427,25.4329,23.4231,116.2854
142A,50,329,24,23.4775,18.4596,25.8615,25.4754,23.4713,116.7452
142A,51,330,15,23.5610,18.5870,26.1203,25.5057,23.5680,117.3420
