Cycle,Timestep,"Cumulative Timestep","Time Interval(hrs)","NWLobePower(MW)","NELobePower(MW)","CLobePower(MW)","SWLobePower(MW)","SELobePower(MW)","TotalCorePower(MW)"
142B,1,331,8,7.4138,5.8700,9.0088,8.0969,8.0331,38.4225
142B,2,332,24,21.6702,16.9098,23.1467,23.6000,21.6931,107.0198
142B,3,333,24,2.9015,2.3169,3.1106,3.1783,3.0679,14.5752
142B,4,334,45,0.0200,0.0200,0.0200,0.0200,0.0200,0.1000
142B,5,335,13,15.4000,12.1831,19.0596,16.7558,16.6312,80.0296
142B,6,336,24,23.7775,18.8117,26.0094,25.8721,25.8000,120.2706
142B,7,337,24,23.6752,18.7388,25.2963,25.7102,25.7121,119.1325
142B,8,338,24,23.5619,18.6448,24.9635,25.5535,25.6048,118.3285
142B,9,339,24,23.5329,18.5302,25.2463,25.5529,25.5667,118.4290
142B,10,340,24,23.5350,18.5490,25.0496,25.6223,25.5798,118.3356
142B,11,341,24,23.5573,18.5821,25.1104,25.6954,25.6298,118.5750
142B,12,342,24,23.6046,18.7317,25.2248,25.7702,25.6881,119.0194
142B,13,343,24,23.6706,18.7419,24.7704,25.8060,25.7183,118.7073
142B,14,344,24,23.4488,18.5946,24.5229,25.6279,25.6229,117.8171
142B,15,345,24,23.5090,18.5290,25.8588,25.6600,25.5494,119.1060
142B,16,346,24,23.6058,18.5588,26.0329,25.8679,25.7642,119.8296
142B,17,347,24,23.6288,18.7104,26.2875,25.7992,25.6858,120.1117
142B,18,348,24,23.5402,18.6275,26.0629,25.6931,25.5771,119.5008
142B,19,349,24,23.5358,18.4742,25.6215,25.6925,25.5515,118.8754
142B,20,350,24,23.4863,18.4988,25.5131,25.6852,25.5581,118.7415
142B,21,351,24,23.4892,18.5477,25.5042,25.6085,25.4971,118.6467
142B,22,352,24,23.5388,18.5348,25.4277,25.6208,25.5275,118.6496
142B,23,353,24,23.4813,18.5127,25.4831,25.6050,25.5081,118.5902
142B,24,354,24,23.6110,18.5983,25.8998,25.5365,25.6740,119.3196
142B,25,355,24,23.5521,18.5469,25.5977,25.6704,25.6171,118.9842
142B,26,356,24,23.5171,18.5554,25.7698,25.5967,25.5558,118.9948
142B,27,357,24,23.5206,18.5871,25.5635,25.5890,25.4927,118.7529
142B,28,358,24,23.4390,18.5988,26.0238,25.5319,25.3952,118.9885
142B,29,359,24,23.4600,18.5771,25.9296,25.5408,25.5608,119.0683
142B,30,360,24,23.5140,18.5590,25.8596,25.5706,25.5200,119.0231
142B,31,361,24,23.4867,18.4758,25.4154,25.6158,25.5227,118.5165
142B,32,362,31,23.4615,18.4015,25.0632,25.5718,25.4802,117.9781
142B,33,363,46,0.0200,0.0200,0.0200,0.0200,0.0200,0.1000
142B,34,364,11,19.9091,15.6723,24.9150,21.7405,21.5914,103.8282
142B,35,365,24,23.3910,18.4044,26.5463,26.3667,25.4406,120.1490
142B,36,366,24,23.3325,18.3517,25.5365,26.2565,25.3742,118.8513
142B,37,367,24,23.2196,18.2438,25.2515,26.1583,25.3002,118.1733
142B,38,368,24,23.2006,18.2898,25.1158,26.2281,25.2506,118.0850
142B,39,369,24,23.3358,18.3758,24.9756,26.2494,25.2981,118.2348
142B,40,370,24,23.3217,18.3502,24.9127,26.3413,25.2750,118.2008
142B,41,371,24,23.3150,18.3790,25.6463,26.3913,25.3296,119.0610
142B,42,372,24,23.3433,18.4158,25.4358,26.2821,25.3727,118.8498
142B,43,373,24,23.3913,18.3404,25.0142,26.3194,25.3660,118.4313
142B,44,374,24,23.3917,18.4379,26.2844,26.3379,25.3738,119.8256
142B,45,375,24,23.3113,18.3404,26.2379,26.2913,25.3365,119.5173
142B,46,376,24,23.4677,18.4883,26.5517,26.4602,25.4950,120.4629
142B,47,377,24,23.4515,18.5042,26.2088,26.4577,25.4933,120.1154
142B,48,378,24,23.4446,18.3921,26.0260,26.4381,25.4858,119.7867
142B,49,379,24,23.4265,18.4290,25.7046,26.4146,25.5173,119.4919
142B,50,380,24,23.4790,18.5715,25.6596,26.5738,25.5246,119.8083
142B,51,381,24,23.4831,18.6404,25.7508,26.5140,25.5060,119.8944
142B,52,382,24,23.4194,18.4875,25.7127,26.4546,25.4579,119.5321
142B,53,383,24,23.4117,18.4940,26.6373,26.4496,25.4890,120.4815
142B,54,384,24,23.4527,18.6540,27.6181,26.6365,25.5381,121.8994
142B,55,385,24,23.5610,18.5815,27.4229,26.5581,25.5960,121.7196
142B,56,386,24,23.5681,18.6531,26.8021,26.4804,25.5869,121.0906
142B,57,387,21,23.6850,18.7450,26.7836,26.5638,25.6340,121.4114
143A,1,388,8,10.6913,10.5900,15.3406,14.7863,14.6944,66.1025
143A,2,389,24,18.0748,17.8308,23.4185,25.9913,25.0077,110.3231
143A,3,390,24,18.2983,18.3335,23.8910,27.2754,25.2279,113.0263
143A,4,391,24,18.3808,18.3615,24.0940,27.2708,25.3123,113.4194
143A,5,392,24,18.2192,18.2492,24.4560,27.2354,25.3042,113.4640
143A,6,393,24,18.2575,18.3100,24.5435,27.2677,25.3617,113.7404
143A,7,394,24,18.2342,18.2494,24.2946,27.2738,25.3196,113.3715
143A,8,395,24,18.3067,18.3283,24.1610,27.3010,25.3485,113.4456
143A,9,396,24,18.1098,18.1596,24.3538,27.0858,25.0788,112.7877
143A,10,397,24,18.1440,18.1938,24.4073,27.1413,25.1594,113.0456
143A,11,398,24,18.0750,18.0808,24.0713,27.0325,25.0396,112.2992
143A,12,399,24,18.0285,17.9844,23.9642,26.9913,25.0356,112.0040
143A,13,400,24,17.9400,18.0642,23.7113,26.8456,24.9958,111.5569
143A,14,401,24,17.9779,18.0002,23.7538,26.9708,25.0196,111.7223
143A,15,402,24,18.0394,18.1000,23.7048,27.0573,25.0856,111.9871
143A,16,403,24,18.0571,18.1106,23.5256,27.0363,25.2277,111.9573
143A,17,404,24,18.1106,18.0777,23.4475,27.0427,25.2035,111.8821
143A,18,405,24,18.0390,18.0048,23.5642,26.9660,25.1110,111.6850
143A,19,406,24,18.0504,18.0356,23.8152,27.0613,25.0663,112.0288
143A,20,407,24,18.1444,18.1104,23.6202,27.0521,25.1352,112.0623
143A,21,408,24,18.0798,18.1550,23.6875,27.1006,25.1988,112.2217
143A,22,409,24,18.1269,18.1785,23.9206,27.0794,25.1385,112.4440
143A,23,410,24,18.1098,18.1667,23.6894,27.1458,25.1463,112.2579
143A,24,411,15,18.1730,18.2337,24.1910,27.1537,25.1203,112.8717
143A,25,412,449,0.0100,0.0100,0.0100,0.0100,0.0100,0.0500
143A,26,413,24,15.2940,15.2731,21.1873,22.8210,21.1746,95.7500
143A,27,414,24,18.0948,18.0196,24.3271,27.0719,25.0252,112.5385
143A,28,415,24,18.1292,18.1308,24.4331,27.1575,25.0994,112.9500
143A,29,416,24,18.0917,18.0775,24.3683,27.1390,25.0096,112.6860
143A,30,417,24,18.1252,18.1640,24.2179,27.0925,25.0317,112.6313
143A,31,418,24,18.1296,18.2004,24.4040,27.0321,25.0742,112.8402
143A,32,419,24,18.2210,18.1731,24.4044,27.0998,25.2108,113.1092
143A,33,420,24,18.1625,18.1494,24.6785,27.0688,25.0902,113.1494
143A,34,421,24,18.2246,18.2335,24.7023,27.0802,25.2602,113.5008
143A,35,422,24,18.1215,18.1354,24.7663,27.0771,25.2029,113.3031
143A,36,423,24,18.2096,18.2040,24.7208,27.2235,25.2354,113.5933
143A,37,424,24,18.2544,18.2069,24.7421,27.2800,25.2394,113.7227
143A,38,425,24,18.2444,18.2171,24.6577,27.2067,25.2869,113.6127
143A,39,426,24,18.2110,18.2560,24.7196,27.1829,25.2573,113.6269
143A,40,427,24,18.1531,18.1448,24.6410,27.1071,25.1650,113.2110
143A,41,428,28,17.8218,17.8264,23.9716,26.6643,24.7614,111.0455
143A,42,429,112,0.0100,0.0100,0.0100,0.0100,0.0100,0.0500
143A,43,430,8,12.0919,12.0031,17.8688,17.4456,16.7938,76.2031
143A,44,431,24,18.2258,18.1840,25.2496,27.1952,25.3338,114.1883
143A,45,432,24,18.3352,18.3419,25.4381,27.2808,25.4223,114.8183
143A,46,433,24,18.3533,18.4565,25.3031,27.3333,25.3998,114.8460
143A,47,434,24,18.2523,18.1963,25.1079,27.1829,25.3063,114.0456
143A,48,435,24,18.1927,18.2071,24.6885,27.1840,25.2575,113.5298
143A,49,436,24,18.2250,18.2629,25.2408,27.2027,25.2588,114.1902
143A,50,437,24,18.2733,18.3142,25.0948,27.2202,25.2785,114.1810
143A,51,438,24,18.2804,18.2379,24.9383,27.1900,25.3308,113.9775
143A,52,439,24,18.2460,18.2785,25.1196,27.1113,25.2129,113.9683
143A,53,440,22,18.2718,18.2041,25.1470,27.0375,25.1252,113.7857
143B,1,441,8,0.2138,0.2188,0.2913,0.2638,0.2725,1.2600
143B,2,442,24,9.7135,9.7754,13.4425,13.3298,13.2273,59.4885
143B,3,443,24,18.5788,18.6088,24.4527,25.6669,25.6204,112.9275
143B,4,444,24,18.6935,18.7015,24.3708,25.6692,25.6513,113.0863
143B,5,445,24,18.5244,18.5635,23.9783,25.5710,25.5546,112.1919
143B,6,446,24,18.6175,18.6815,24.1533,25.7346,25.6304,112.8173
143B,7,447,24,18.6825,18.7706,24.4083,25.9183,25.7827,113.5625
143B,8,448,24,18.7417,18.8017,24.1240,25.8852,25.8260,113.3785
143B,9,449,24,18.7142,18.8219,24.6702,25.9019,25.8608,113.9690
143B,10,450,24,18.6746,18.7477,24.7213,25.8960,25.8479,113.8875
143B,11,451,24,18.6285,18.6717,24.6525,25.7796,25.7948,113.5271
143B,12,452,24,18.5394,18.6463,24.4533,25.8021,25.7406,113.1817
143B,13,453,24,18.5817,18.6288,24.1721,25.7754,25.7608,112.9188
143B,14,454,24,18.4429,18.5633,24.2817,25.6427,25.5850,112.5156
143B,15,455,24,18.4848,18.5290,24.8073,26.8304,25.6079,114.2594
143B,16,456,24,18.5198,18.5456,25.4773,28.0775,25.5835,116.2038
143B,17,457,24,18.6000,18.7406,25.5802,28.1373,25.7004,116.7585
143B,18,458,24,18.5625,18.7010,25.3333,28.3360,25.8244,116.7573
143B,19,459,24,18.5279,18.5065,25.4175,28.1169,25.6240,116.1927
143B,20,460,24,18.5960,18.6646,25.6527,28.2088,25.6773,116.7994
143B,21,461,24,18.5885,18.5308,25.3656,28.1685,25.7098,116.3633
143B,22,462,24,18.5344,18.5256,25.2196,28.2129,25.6181,116.1106
143B,23,463,24,18.5540,18.6827,25.6890,28.2515,25.6444,116.8215
143B,24,464,24,18.6319,18.6717,25.7150,28.3090,25.7298,117.0573
143B,25,465,24,18.6100,18.6406,25.8031,28.2654,25.6223,116.9415
143B,26,466,24,18.5515,18.5813,25.7719,28.2004,25.5692,116.6742
143B,27,467,24,18.5656,18.6692,25.8465,28.3138,25.6127,117.0077
143B,28,468,24,18.5856,18.7238,25.9054,28.2165,25.5904,117.0217
143B,29,469,53,4.0182,4.0655,5.6000,6.0443,5.4994,25.2275
143B,30,470,24,17.0663,17.1613,25.2500,25.8492,23.5446,108.8713
143B,31,471,24,18.7963,18.8727,26.0544,28.4885,25.9602,118.1721
143B,32,472,24,18.7708,18.7377,25.9152,28.3119,25.8723,117.6079
143B,33,473,24,18.6013,18.7127,25.4169,28.2779,25.7258,116.7346
143B,34,474,24,18.6050,18.7215,25.4567,28.1813,25.6923,116.6567
143B,35,475,24,18.4610,18.5092,25.4165,28.1075,25.6360,116.1302
143B,36,476,24,18.5144,18.5550,25.2546,28.1675,25.6304,116.1219
143B,37,477,24,18.5965,18.5823,25.5094,28.2221,25.6248,116.5350
143B,38,478,24,18.6117,18.6738,25.6200,28.2277,25.7019,116.8350
143B,39,479,24,18.6729,18.7606,25.7698,28.2694,25.7650,117.2377
143B,40,480,24,18.6858,18.7875,25.9981,28.2804,25.7608,117.5127
143B,41,481,24,18.6910,18.8008,26.0110,28.2648,25.7465,117.5142
143B,42,482,24,18.5900,18.6115,25.9490,28.1213,25.5729,116.8446
143B,43,483,24,18.5463,18.6129,25.5021,28.1700,25.6367,116.4679
143B,44,484,24,18.6306,18.6413,25.1292,28.2521,25.8077,116.4608
143B,45,485,24,18.6740,18.7808,24.9252,28.3396,25.7348,116.4544
143B,46,486,24,18.5154,18.6017,24.8502,28.1529,25.5223,115.6425
143B,47,487,24,18.5506,18.6092,25.1540,28.1538,25.6877,116.1552
143B,48,488,24,18.7069,18.7969,25.2198,28.2944,25.7700,116.7879
143B,49,489,24,18.6429,18.7088,25.2098,28.2288,25.7200,116.5102
143B,50,490,24,18.6840,18.7615,25.5404,28.2925,25.7656,117.0440
143B,51,491,24,18.7006,18.7860,25.2581,28.3623,25.8454,116.9525
143B,52,492,24,18.8110,18.7806,25.2738,27.6310,25.9108,116.4073
143B,53,493,24,18.6906,18.7406,25.1902,28.2944,25.8242,116.7400
143B,54,494,24,18.6254,18.7804,25.1621,28.1550,25.7669,116.4898
143B,55,495,24,18.7510,18.8290,25.5154,28.4027,25.8471,117.3452
143B,56,496,24,18.8733,18.8402,25.8383,28.4294,25.8710,117.8523
143B,57,497,24,18.8610,18.9777,25.9321,28.4665,25.8950,118.1323
143B,58,498,24,18.8967,19.0148,25.5810,28.5383,26.0106,118.0415
143B,59,499,24,18.8256,18.9171,24.9742,28.2025,25.9294,116.8488
143B,60,500,9,18.8839,18.8878,24.6917,27.9400,25.8506,116.2539
144A,1,501,8,1.3456,1.3350,1.8681,1.5938,1.6500,7.7925
144A,2,502,24,16.4298,16.4338,21.7763,20.9210,22.6396,98.2004
144A,3,503,24,18.3696,18.4035,23.5519,23.3248,25.2854,108.9352
144A,4,504,24,18.4452,18.3933,23.5360,23.3894,25.3875,109.1515
144A,5,505,24,18.3610,18.4252,23.3346,23.4079,25.3825,108.9113
144A,6,506,24,18.3650,18.3977,22.7419,23.4206,25.4133,108.3385
144A,7,507,24,18.4306,18.4963,23.0817,23.4700,25.5260,109.0046
144A,8,508,24,18.4177,18.4573,22.9535,23.5433,25.5077,108.8796
144A,9,509,24,18.4271,18.3950,22.9335,23.4267,25.4117,108.5940
144A,10,510,24,18.4265,18.4621,22.9721,23.3892,25.5029,108.7527
144A,11,511,24,18.4263,18.4360,22.9200,23.4783,25.5473,108.8079
144A,12,512,24,18.3546,18.3948,23.0033,23.4444,25.4198,108.6169
144A,13,513,24,18.3744,18.3844,23.0031,23.4790,25.4485,108.6894
144A,14,514,24,18.3779,18.3977,23.2669,23.3900,25.3781,108.8106
144A,15,515,24,18.3604,18.4113,23.4398,23.4852,25.4071,109.1038
144A,16,516,24,18.3954,18.4319,23.4138,23.4494,25.4598,109.1502
144A,17,517,24,18.3919,18.4704,23.3250,23.5102,25.5765,109.2740
144A,18,518,24,18.2835,18.3600,23.0902,23.3375,25.3977,108.4690
144A,19,519,24,18.3590,18.4519,23.1585,23.5394,25.4667,108.9754
144A,20,520,24,18.2833,18.2758,22.9317,23.3779,25.4238,108.2925
144A,21,521,24,18.2938,18.3548,22.9923,23.3371,25.3973,108.3752
144A,22,522,24,18.3725,18.4142,23.2131,23.3898,25.5277,108.9173
144A,23,523,24,18.3969,18.4596,23.1673,23.4998,25.5504,109.0740
144A,24,524,24,18.2952,18.2823,23.2567,23.3621,25.3438,108.5400
144A,25,525,24,18.4023,18.3579,23.2765,23.3973,25.3890,108.8229
144A,26,526,24,18.3079,18.3315,23.3673,23.3398,25.3315,108.6779
144A,27,527,24,18.3135,18.3692,23.5373,23.3483,25.3596,108.9279
144A,28,528,24,18.3683,18.3067,23.4025,23.3890,25.3506,108.8171
144A,29,529,24,18.3092,18.3435,23.3900,23.3071,25.3496,108.6994
144A,30,530,24,18.3540,18.3988,23.2615,23.3596,25.4079,108.7817
144A,31,531,24,18.3523,18.4069,23.5679,23.3883,25.4610,109.1765
144A,32,532,24,18.4013,18.4410,23.6633,23.3508,25.4100,109.2665
144A,33,533,24,17.5694,18.5890,23.6133,23.5260,25.5960,108.8938
144A,34,534,24,18.3102,18.3381,23.3548,23.3667,25.3231,108.6929
144A,35,535,24,18.2871,18.2560,23.3390,23.3188,25.2748,108.4756
144A,36,536,24,18.2650,18.2771,23.1413,23.3752,25.3600,108.4185
144A,37,537,24,18.4250,18.5360,23.1998,23.4521,25.5442,109.1571
144A,38,538,24,18.4073,18.4419,23.2344,23.5402,25.4060,109.0298
144A,39,539,24,18.3521,18.4165,23.7813,23.3860,25.4358,109.3717
144A,40,540,24,18.5523,18.5983,24.0538,23.5179,25.5427,110.2650
144A,41,541,24,18.5242,18.5850,23.7925,23.6092,25.5308,110.0417
144A,42,542,24,18.5850,18.6115,23.5177,23.5690,25.5254,109.8085
144A,43,543,24,18.5285,18.4594,23.3621,23.5367,25.4540,109.3406
144A,44,544,24,18.5954,18.5342,23.2660,23.5008,25.5354,109.4319
144A,45,545,18,17.5428,17.5464,21.8222,22.3025,24.1983,103.4122
144B,1,546,8,6.5194,6.5713,9.3038,8.3206,8.3038,39.0188
144B,2,547,24,18.4650,18.4729,23.5979,23.4042,23.4348,107.3748
144B,3,548,24,18.4588,18.5142,23.1083,22.8331,23.4500,106.3644
144B,4,549,24,18.4758,18.5360,23.4142,23.5471,23.5148,107.4879
144B,5,550,24,18.5244,18.5798,23.4510,23.5860,23.6171,107.7583
144B,6,551,24,18.4600,18.4252,23.0079,23.5594,23.4185,106.8710
144B,7,552,24,18.4973,18.5294,22.9081,23.5375,23.4004,106.8727
144B,8,553,24,18.5377,18.5790,22.8863,23.6450,23.5827,107.2306
144B,9,554,24,18.4856,18.5063,22.7935,23.5685,23.5252,106.8792
144B,10,555,24,18.3563,18.3538,22.8002,23.4229,23.3988,106.3319
144B,11,556,24,18.4358,18.4831,23.1610,23.4725,23.4248,106.9773
144B,12,557,24,18.3463,18.5710,23.4046,23.3777,23.3938,107.0933
144B,13,558,24,18.4638,18.6773,23.4569,23.5460,23.5298,107.6738
144B,14,559,24,18.4329,18.4721,23.0846,23.5377,23.4448,106.9721
144B,15,560,24,18.4165,18.5277,23.0467,23.5050,23.5221,107.0179
144B,16,561,24,18.3242,18.4146,22.7994,23.5044,23.3865,106.4290
144B,17,562,24,18.2348,18.3213,22.3346,23.3388,23.2473,105.4767
144B,18,563,24,18.3396,18.3779,22.7633,23.3998,23.3725,106.2531
144B,19,564,24,18.3602,18.4058,22.4754,23.4475,23.4398,106.1288
144B,20,565,24,18.4023,18.4448,22.3333,23.4890,23.3894,106.0588
144B,21,566,24,18.2742,18.4440,22.2531,23.3340,23.3375,105.6427
144B,22,567,19,18.4297,18.4550,22.4263,23.5453,23.5484,106.4047
144B,23,568,66,0.0100,0.0100,0.0100,0.0100,0.0100,0.0500
144B,24,569,19,14.9555,14.9911,19.5121,18.7800,18.9979,87.2366
144B,25,570,24,18.4873,18.5729,22.3056,23.7077,23.6588,106.7323
144B,26,571,24,18.4435,18.5419,22.0506,23.4646,23.5571,106.0577
144B,27,572,24,18.3354,18.4013,22.3060,23.4663,23.3790,105.8879
144B,28,573,24,18.1956,18.2773,21.9121,23.5015,23.3492,105.2356
144B,29,574,24,18.3560,18.4167,21.7644,23.4552,23.3738,105.3660
144B,30,575,24,18.3033,18.4081,21.4823,23.3506,23.4042,104.9485
144B,31,576,24,18.4204,18.4969,21.8623,23.4567,23.4056,105.6419
144B,32,577,24,18.3456,18.3579,21.9435,23.4171,23.3867,105.4508
144B,33,578,24,18.2592,18.3085,21.6848,23.3440,23.3152,104.9117
144B,34,579,24,18.2683,18.3696,21.9660,23.3719,23.3098,105.2856
144B,35,580,24,18.4525,18.4783,22.0104,23.5658,23.4933,106.0004
144B,36,581,24,18.3479,18.4113,22.1294,23.3746,23.3933,105.6565
144B,37,582,24,18.4196,18.4196,22.3506,23.4742,23.4073,106.0713
144B,38,583,24,18.5544,18.5648,22.2131,23.6763,23.6725,106.6810
144B,39,584,24,18.2892,18.3060,22.5475,23.3844,23.2967,105.8238
144B,40,585,24,18.3713,18.4219,22.5485,23.4529,23.4292,106.2238
144B,41,586,24,18.3415,18.3531,22.3115,23.3790,23.2858,105.6708
144B,42,587,24,18.3242,18.3765,22.4758,23.4073,23.3808,105.9646
144B,43,588,24,18.4127,18.4448,22.5440,23.5021,23.4756,106.3792
144B,44,589,24,18.4540,18.5610,22.4258,23.5217,23.4719,106.4344
144B,45,590,24,18.3063,18.3148,22.1877,23.3544,23.3208,105.4840
144B,46,591,24,18.2702,18.3054,21.9775,23.2925,23.2410,105.0867
144B,47,592,24,18.3079,18.3731,21.9890,23.3750,23.3540,105.3990
144B,48,593,24,18.2227,18.2385,22.0342,23.2723,23.2058,104.9735
144B,49,594,24,18.1865,18.2104,22.3083,23.2727,23.1344,105.1123
144B,50,595,24,18.3152,18.3048,23.3429,23.3808,23.3092,106.6529
144B,51,596,24,18.3338,18.3608,23.2556,23.3825,23.3090,106.6417
144B,52,597,24,18.3538,18.3954,23.1198,23.4644,23.3798,106.7131
144B,53,598,24,18.3763,18.4550,23.3621,23.4035,23.4796,107.0765
144B,54,599,27,18.3665,18.4180,23.4115,23.4804,23.4254,107.1017
145A,1,600,11,8.2073,8.2059,12.2091,10.5105,11.3686,50.5014
145A,2,601,11,16.8845,16.8591,22.5741,21.4732,22.9573,100.7482
145A,3,602,24,17.3775,16.8573,21.9288,22.4356,23.8429,102.4421
145A,4,603,24,17.4738,16.8542,21.7892,22.4950,23.8156,102.4277
145A,5,604,24,17.8163,17.5242,22.5133,23.0585,24.4242,105.3365
145A,6,605,24,18.3544,18.4052,23.2869,23.3696,25.3454,108.7615
145A,7,606,24,18.3767,18.4221,23.3173,23.4750,25.4363,109.0273
145A,8,607,24,18.3196,18.2642,23.1944,23.4023,25.3681,108.5485
145A,9,608,24,18.2829,18.2667,23.1271,23.2800,25.2760,108.2327
145A,10,609,24,18.2096,18.2023,22.8823,23.3031,25.2690,107.8663
145A,11,610,24,18.1965,18.2144,22.7310,23.3023,25.2954,107.7396
145A,12,611,24,18.2496,18.2444,22.9583,23.3131,25.3167,108.0821
145A,13,612,24,18.3283,18.3229,23.2283,23.9271,25.3738,109.1804
145A,14,613,24,18.2396,18.2294,23.4169,24.3317,26.0244,110.2419
145A,15,614,24,18.2873,18.2456,23.6129,24.2633,26.1865,110.5956
145A,16,615,24,18.1102,18.0156,23.4831,24.1131,25.9785,109.7006
145A,17,616,24,18.2083,18.2919,23.4519,24.2888,26.3817,110.6225
145A,18,617,24,18.3263,18.2885,23.4390,24.3798,26.3029,110.7365
145A,19,618,24,18.2577,18.2527,23.3358,24.3198,26.3267,110.4927
145A,20,619,24,18.2363,18.2448,23.1856,24.3406,26.3692,110.3765
145A,21,620,24,18.2221,18.2088,23.2398,24.2575,26.3271,110.2552
145A,22,621,24,18.0890,18.1075,23.3263,24.2365,26.3144,110.0735
145A,23,622,24,18.0623,18.0602,23.5329,24.1027,26.1983,109.9565
145A,24,623,24,18.1681,18.1619,23.3946,24.2125,26.1140,110.0510
145A,25,624,24,18.1106,18.1300,23.2031,24.0381,26.1667,109.6485
145A,26,625,8,18.1925,18.1063,23.0813,24.1256,26.2394,109.7450
145A,27,626,43,0.0020,0.0020,0.0020,0.0020,0.0020,0.0100
145A,28,627,12,11.5442,11.5050,16.4392,15.3771,16.6463,71.5117
145A,29,628,10,18.2125,18.2335,24.3385,24.3300,26.3255,111.4400
145A,30,629,24,18.2808,18.2883,23.3917,24.3542,26.3654,110.6804
145A,31,630,24,18.2315,18.2435,23.1875,24.2079,26.2692,110.1396
145A,32,631,24,18.2288,18.2763,23.1708,24.1863,26.3300,110.1921
145A,33,632,24,18.2000,18.2802,23.0754,24.2913,26.2756,110.1225
145A,34,633,24,18.1367,18.1902,23.2165,24.1260,26.1856,109.8550
145A,35,634,25,18.1690,18.1780,23.0098,24.1870,26.1410,109.6848
145A,36,635,60,0.0020,0.0020,0.0020,0.0020,0.0020,0.0100
145A,37,636,11,11.7750,11.7509,16.6941,15.6864,16.7682,72.6745
145A,38,637,24,18.2290,18.2196,23.7106,24.3113,26.3056,110.7760
145A,39,638,18,18.2678,18.2944,23.3197,24.3261,26.3267,110.5347
145A,40,639,58,0.0020,0.0020,0.0020,0.0020,0.0020,0.0100
145A,41,640,8,6.2444,6.3575,9.0081,8.2100,8.8625,38.6825
145A,42,641,12,18.1792,18.2133,24.9471,24.2150,26.2325,111.7871
145A,43,642,24,18.3694,18.4017,23.5015,24.4750,26.5096,111.2571
145A,44,643,24,18.4263,18.4760,23.1971,24.5042,26.5260,111.1296
145A,45,644,24,18.3106,18.3417,22.8935,24.3981,26.3148,110.2588
145A,46,645,24,18.2675,18.2538,22.8154,24.2827,26.2696,109.8890
145A,47,646,24,18.2458,18.2769,22.9352,24.2242,26.3121,109.9942
145A,48,647,24,18.3015,18.2815,23.0767,24.3027,26.2706,110.2329
145A,49,648,24,18.2333,18.2725,23.2875,24.2377,26.2944,110.3254
145A,50,649,24,18.2544,18.3077,23.2142,24.3075,26.4300,110.5138
145A,51,650,24,18.2183,18.2363,23.4431,24.1825,26.2425,110.3227
145A,52,651,24,18.2531,18.2377,23.3048,24.2640,26.2698,110.3294
145A,53,652,24,18.2319,18.1958,23.3644,24.2269,26.1627,110.1817
145A,54,653,24,18.2258,18.2385,23.6521,24.2258,26.2727,110.6150
145A,55,654,24,18.2156,18.2440,23.7102,24.2792,26.3044,110.7533
145A,56,655,24,18.2463,18.2385,23.5346,24.2288,26.2531,110.5013
145A,57,656,24,18.2352,18.2371,23.7621,24.2294,26.2844,110.7481
145A,58,657,24,18.2056,18.2490,23.6085,24.2129,26.3417,110.6177
145A,59,658,24,18.0825,18.1085,23.2790,24.0456,26.1263,109.6419
145A,60,659,24,18.2313,18.2133,23.8140,24.1817,26.1538,110.5940
145A,61,660,24,18.1408,18.1413,23.7085,24.0531,26.1356,110.1794
145A,62,661,24,18.1558,18.1425,23.7458,24.0515,26.2663,110.3619
145A,63,662,29,18.2024,18.2159,23.6090,24.1162,26.2064,110.3498
